"产品代码","产品类型","周期","计算基准日","THEORY_START_DT","计算模式","收益","年化收益","Alpha","月超额胜率","进攻能力","沪深300收益","沪深300年化收益","沪深300Alpha","沪深300月超额胜率","沪深300进攻能力","同类平均收益","同类平均年化收益","同类平均Alpha","同类平均月超额胜率","同类平均进攻能力","收益排名","年化收益排名","Alpha排名","月超额胜率排名","进攻能力排名"
"000001","1","近 1 年","2022-08-19","2021-08-18","自然日","--","--","--","--","--","-15.18%","-15.15%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"000001","1","近 2 年","2022-08-19","2020-08-18","自然日","--","--","--","--","--","-13.75%","-7.12%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"000001","1","近 3 年","2022-08-19","2019-08-18","自然日","--","--","--","--","--","11.87%","3.80%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"000001","1","近 5 年","2022-08-19","2017-08-18","自然日","--","--","--","--","--","11.45%","2.19%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"000001","1","今年以来","2022-08-19","2021-12-31","自然日","--","--","--","--","--","-15.98%","-24.05%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"000001","1","成立以来","2022-08-19","2022-01-01","自然日","--","--","--","--","--","-15.98%","-24.05%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1011","1","近 1 年","2023-06-30","2022-06-29","自然日","6.70%","6.68%","0.01%","58.33%","8.68%","-13.09%","-13.06%","0.00%","--","100.00%","-4.27%","-4.27%","0.01%","52.08%","24.94%","1/4名","1/4名","2/4名","2/4名","3/4名"
"1011","1","近 2 年","2023-06-30","2021-06-29","自然日","--","--","--","--","--","-25.97%","-13.94%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1011","1","近 3 年","2023-06-30","2020-06-29","自然日","--","--","--","--","--","-6.50%","-2.21%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1011","1","近 5 年","2023-06-30","2018-06-29","自然日","--","--","--","--","--","9.44%","1.82%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1011","1","今年以来","2023-06-30","2022-12-31","自然日","2.10%","4.28%","0.01%","50.00%","8.82%","-0.75%","-1.51%","0.00%","--","100.00%","-2.18%","-3.89%","-0.01%","50.00%","52.78%","2/4名","2/4名","2/4名","2/4名","4/4名"
"1011","1","成立以来","2023-06-30","2021-01-01","自然日","--","--","--","--","--","-26.27%","-11.49%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1012","1","近 1 年","2023-06-30","2022-06-29","自然日","4.04%","4.03%","0.06%","50.00%","60.22%","-13.09%","-13.06%","0.00%","--","100.00%","-4.27%","-4.27%","0.01%","52.08%","24.94%","2/4名","2/4名","1/4名","3/4名","1/4名"
"1012","1","近 2 年","2023-06-30","2021-06-29","自然日","--","--","--","--","--","-25.97%","-13.94%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1012","1","近 3 年","2023-06-30","2020-06-29","自然日","--","--","--","--","--","-6.50%","-2.21%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1012","1","近 5 年","2023-06-30","2018-06-29","自然日","--","--","--","--","--","9.44%","1.82%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1012","1","今年以来","2023-06-30","2022-12-31","自然日","-3.78%","-7.47%","-0.01%","50.00%","82.44%","-0.75%","-1.51%","0.00%","--","100.00%","-2.18%","-3.89%","-0.01%","50.00%","52.78%","3/4名","3/4名","3/4名","2/4名","2/4名"
"1012","1","成立以来","2023-06-30","2021-01-01","自然日","--","--","--","--","--","-26.27%","-11.49%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1013","1","近 1 年","2023-06-30","2022-06-29","自然日","-29.62%","-29.56%","-0.05%","33.33%","24.69%","-13.09%","-13.06%","0.00%","--","100.00%","-4.27%","-4.27%","0.01%","52.08%","24.94%","4/4名","4/4名","4/4名","4/4名","2/4名"
"1013","1","近 2 年","2023-06-30","2021-06-29","自然日","--","--","--","--","--","-25.97%","-13.94%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1013","1","近 3 年","2023-06-30","2020-06-29","自然日","--","--","--","--","--","-6.50%","-2.21%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1013","1","近 5 年","2023-06-30","2018-06-29","自然日","--","--","--","--","--","9.44%","1.82%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1013","1","今年以来","2023-06-30","2022-12-31","自然日","-12.34%","-23.33%","-0.06%","33.33%","94.55%","-0.75%","-1.51%","0.00%","--","100.00%","-2.18%","-3.89%","-0.01%","50.00%","52.78%","4/4名","4/4名","4/4名","4/4名","1/4名"
"1013","1","成立以来","2023-06-30","2020-12-25","自然日","--","--","--","--","--","-23.15%","-9.94%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1022","1","近 1 年","2023-06-30","2022-06-29","自然日","1.79%","1.78%","0.01%","66.67%","6.15%","-13.09%","-13.06%","0.00%","--","100.00%","-4.27%","-4.27%","0.01%","52.08%","24.94%","3/4名","3/4名","3/4名","1/4名","4/4名"
"1022","1","近 2 年","2023-06-30","2021-06-29","自然日","--","--","--","--","--","-25.97%","-13.94%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1022","1","近 3 年","2023-06-30","2020-06-29","自然日","--","--","--","--","--","-6.50%","-2.21%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1022","1","近 5 年","2023-06-30","2018-06-29","自然日","--","--","--","--","--","9.44%","1.82%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1022","1","今年以来","2023-06-30","2022-12-31","自然日","5.29%","10.95%","0.03%","66.67%","25.32%","-0.75%","-1.51%","0.00%","--","100.00%","-2.18%","-3.89%","-0.01%","50.00%","52.78%","1/4名","1/4名","1/4名","1/4名","3/4名"
"1022","1","成立以来","2023-06-30","2022-01-01","自然日","7.54%","4.98%","0.01%","61.11%","9.41%","-22.22%","-15.47%","0.00%","--","100.00%","7.54%","4.98%","0.01%","61.11%","9.41%","1/1名","1/1名","1/1名","1/1名","1/1名"
"1029","1","近 1 年","2022-12-31","2021-12-30","自然日","--","--","--","--","--","-21.33%","-21.28%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1029","1","近 2 年","2022-12-31","2020-12-30","自然日","--","--","--","--","--","-24.29%","-12.97%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1029","1","近 3 年","2022-12-31","2019-12-30","自然日","--","--","--","--","--","-5.14%","-1.74%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1029","1","近 5 年","2022-12-31","2017-12-30","自然日","--","--","--","--","--","-3.95%","-0.80%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1029","1","今年以来","2022-12-31","2021-12-31","自然日","--","--","--","--","--","-21.63%","-21.63%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1029","1","成立以来","2022-12-31","2022-01-01","自然日","--","--","--","--","--","-21.63%","-21.63%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1121","1","近 1 年","2022-08-19","2021-08-18","自然日","--","--","--","--","--","-15.18%","-15.15%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1121","1","近 2 年","2022-08-19","2020-08-18","自然日","--","--","--","--","--","-13.75%","-7.12%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1121","1","近 3 年","2022-08-19","2019-08-18","自然日","--","--","--","--","--","11.87%","3.80%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
"1121","1","近 5 年","2022-08-19","2017-08-18","自然日","--","--","--","--","--","11.45%","2.19%","0.00%","--","100.00%","--","--","--","--","--","","","","",""
