产品代码,产品类型,计算模式,周期,最大回撤,贝塔,回撤修复,年化波动率,下行风险,防守能力,同类平均最大回撤,同类平均贝塔,同类平均回撤修复,同类平均年化波动率,同类平均下行风险,同类平均防守能力,沪深300最大回撤,沪深300贝塔,沪深300回撤修复,沪深300年化波动率,沪深300下行风险,沪深300防守能力,最大回撤排名,贝塔排名,回撤修复排名,年化波动率排名,下行风险排名,防守能力排名
D00438,未分类,自然日,近 1 年,--,--,--,--,--,--,--,--,--,--,--,--,-21.42%,100.00%,--,17.60%,15.35%,100.00%,--,--,--,--,--,--
D00438,未分类,自然日,近 2 年,--,--,--,--,--,--,--,--,--,--,--,--,-21.42%,100.00%,47天,19.53%,16.75%,100.00%,--,--,--,--,--,--
D00438,未分类,自然日,近 3 年,--,--,--,--,--,--,--,--,--,--,--,--,-21.42%,100.00%,79天,20.13%,18.15%,100.00%,--,--,--,--,--,--
D00438,未分类,自然日,近 5 年,--,--,--,--,--,--,--,--,--,--,--,--,-32.46%,100.00%,342天,18.87%,17.05%,100.00%,--,--,--,--,--,--
D00438,未分类,自然日,今年以来,--,--,--,--,--,--,--,--,--,--,--,--,-7.62%,100.00%,--,15.37%,10.67%,100.00%,--,--,--,--,--,--
D00438,未分类,自然日,成立以来,--,--,--,--,--,--,--,--,--,--,--,--,-46.70%,100.00%,979天,23.33%,22.15%,100.00%,--,--,--,--,--,--
ZH0250,未分类,自然日,近 1 年,--,--,--,--,--,--,--,--,--,--,--,--,-18.61%,100.00%,7天,17.80%,15.61%,100.00%,--,--,--,--,--,--
ZH0250,未分类,自然日,近 2 年,--,--,--,--,--,--,--,--,--,--,--,--,-18.61%,100.00%,45天,20.43%,19.11%,100.00%,--,--,--,--,--,--
ZH0250,未分类,自然日,近 3 年,--,--,--,--,--,--,--,--,--,--,--,--,-18.61%,100.00%,78天,20.06%,18.14%,100.00%,--,--,--,--,--,--
ZH0250,未分类,自然日,近 5 年,--,--,--,--,--,--,--,--,--,--,--,--,-32.46%,100.00%,342天,18.80%,17.04%,100.00%,--,--,--,--,--,--
ZH0250,未分类,自然日,今年以来,--,--,--,--,--,--,--,--,--,--,--,--,-4.32%,100.00%,--,14.17%,7.06%,100.00%,--,--,--,--,--,--
ZH0250,未分类,自然日,成立以来,--,--,--,--,--,--,--,--,--,--,--,--,-46.70%,100.00%,979天,23.35%,22.17%,100.00%,--,--,--,--,--,--
TS0002,未分类,自然日,近 1 年,--,--,--,--,--,--,--,--,--,--,--,--,-18.61%,100.00%,7天,17.84%,15.57%,100.00%,--,--,--,--,--,--
TS0002,未分类,自然日,近 2 年,--,--,--,--,--,--,--,--,--,--,--,--,-18.61%,100.00%,45天,20.42%,19.11%,100.00%,--,--,--,--,--,--
TS0002,未分类,自然日,近 3 年,--,--,--,--,--,--,--,--,--,--,--,--,-18.61%,100.00%,78天,20.05%,18.14%,100.00%,--,--,--,--,--,--
TS0002,未分类,自然日,近 5 年,--,--,--,--,--,--,--,--,--,--,--,--,-32.46%,100.00%,342天,18.80%,17.03%,100.00%,--,--,--,--,--,--
TS0002,未分类,自然日,今年以来,--,--,--,--,--,--,--,--,--,--,--,--,-4.32%,100.00%,--,13.78%,7.06%,100.00%,--,--,--,--,--,--
TS0002,未分类,自然日,成立以来,--,--,--,--,--,--,--,--,--,--,--,--,-46.70%,100.00%,979天,23.35%,22.17%,100.00%,--,--,--,--,--,--
17S058,1,自然日,近 1 年,--,--,--,--,--,--,--,--,--,--,--,--,-21.42%,100.00%,--,17.34%,15.27%,100.00%,--,--,--,--,--,--
